Brand,model,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,km_per_year,post_year,post_month
Honda,City,23,98000,Manual,second,Petrol,195000,4261,2026,11
Toyota,Innova,15,168500,Manual,second,Diesel,375000,27750,2026,7
Volkswagen,Ventotest,14,77246,Manual,first,Diesel,184999,5518,2026,11
Maruti Suzuki,Swift,7,83500,Manual,second,Diesel,565000,11929,2026,11
Maruti Suzuki,Baleno,5,45000,Automatic,first,Petrol,685000,9000,2026,11
BMW,X3,10,83000,Automatic,first,Diesel,1350000,8300,2026,11
Toyota,Innova,10,168000,Manual,second,Diesel,1025000,16800,2026,11
BMW,5 Series,5,25000,Automatic,second,Diesel,2422500,5000,2026,11
Maruti Suzuki,Maruti-Suzuki-Dzire,4,33759,Manual,second,Petrol,622000,8440,2026,11
Ford,Ecosport,7,69713,Manual,second,Petrol,649000,9959,2026,11
Maruti Suzuki,Alto-K10,6,70000,Automatic,first,Petrol,395000,11667,2026,11
Kia,Carnival,3,25000,Automatic,first,Diesel,2422500,8333,2026,11
Maruti Suzuki,Swift-Dzire,12,72700,Manual,second,Petrol,240000,6058,2026,11
Toyota,Corolla,17,121931,Automatic,second,Petrol,201350,7172,2026,11
Mercedes-Benz,Gle Coupe,3,32000,Automatic,second,Petrol,2422500,10667,2026,10
Hyundai,Xcent,6,130000,Manual,second,Diesel,330000,21667,2026,11
Kia,Seltos,4,68000,Manual,first,Diesel,1045000,17000,2026,10
Maruti Suzuki,Ertiga,8,65000,Manual,second,Diesel,785000,8125,2026,11
Maruti Suzuki,Ertiga,7,59000,Automatic,second,Petrol,555000,8429,2026,11
BMW,3 Series Gt,9,61000,Automatic,second,Diesel,1500000,6778,2026,11
Ford,Endeavour,5,77000,Automatic,second,Diesel,2399000,15400,2026,11
Toyota,Innova Crysta,7,107000,Automatic,first,Diesel,1325000,15286,2026,11
Honda,City,14,168500,Manual,first,Petrol,295000,27750,2026,11
Audi,A3,9,42000,Automatic,second,Diesel,1050000,4667,2026,11
Renault,Kwid,5,48073,Automatic,second,Petrol,355000,9615,2026,11
MG,Hector,5,32618,Automatic,first,Petrol,1250000,6524,2026,10
Maruti Suzuki,Swift-Dzire,12,70000,Manual,second,Diesel,315000,5833,2026,11
Maruti Suzuki,Celerio,10,51000,Automatic,second,Petrol,345000,5100,2026,11
Maruti Suzuki,Vitara-Brezza,6,137000,Manual,first,Diesel,845000,22833,2026,11
Toyota,28 Legender 4X2,1,1996,Automatic,first,Diesel,2422500,1996,2026,11
Toyota,Innova Crysta,7,90000,Manual,second,Diesel,1950000,12857,2026,11
Toyota,Innova,13,84000,Manual,second,Diesel,490000,6462,2026,11
Volvo,S90,6,53000,Automatic,first,Diesel,2422500,8833,2026,11
Hyundai,Venue,3,17000,Manual,first,Petrol,685000,5667,2026,11
Maruti Suzuki,Ertiga,6,70000,Manual,second,Petrol,749000,11667,2026,11
Hyundai,Creta,1,5000,Automatic,first,Petrol,1600000,5000,2026,11
Hyundai,Alcazar,2,47110,Manual,second,Diesel,1695000,23555,2026,11
Hyundai,I20,5,35000,Manual,first,Petrol,585000,7000,2026,11
Mercedes-Benz,E-Class,5,101570,Automatic,first,Diesel,2422500,20314,2026,10
Volkswagen,Polo,3,42000,Manual,second,Petrol,675000,14000,2026,11
Maruti Suzuki,Baleno,6,30000,Manual,second,Petrol,630000,5000,2026,11
Hyundai,Verna,8,82100,Manual,second,Diesel,465000,10262,2026,11
Audi,A4,12,90000,Automatic,second,Diesel,899000,7500,2026,8
Toyota,Fortuner,13,168500,Manual,second,Diesel,1125000,14846,2026,11
Mercedes-Benz,C-Class,9,168500,Automatic,first,Diesel,1750000,27750,2026,11
Hyundai,Creta,2,168500,Automatic,second,Petrol,1690000,27750,2026,11
Maruti Suzuki,Swift-Dzire,4,94856,Manual,first,Petrol,690000,23714,2026,11
Skoda,Kushaq,1,12000,Automatic,first,Petrol,1800000,12000,2026,11
Maruti Suzuki,Ciaz,6,0,Manual,first,Petrol,500000,0,2026,11
Tata,Safari,14,168500,Manual,first,Diesel,800000,27750,2026,11
